,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
352,Esperance,-33.8667,121.9,49.84,80,12,18.39,AU,1627147799
353,Abonnema,4.7084,6.7931,78.13,66,82,9.1,NG,1627147900
354,Progreso,21.2833,-89.6667,92.1,67,89,12.8,MX,1627147853
355,Dongfeng,42.6403,125.5118,70.16,80,83,4.32,CN,1627147900
356,Farafangana,-22.8167,47.8333,67.05,72,98,13.18,MG,1627147900
357,Havre-St-Pierre,50.2334,-63.5986,66.56,55,1,5.75,CA,1627147901
358,Rosetta,31.4044,30.4164,80.42,74,4,15.7,EG,1627147901
359,Cervo,43.6702,-7.4101,66.96,74,21,15.64,ES,1627147901
360,Vung Tau,10.346,107.0843,80.94,80,97,20.87,VN,1627147748
361,Dodge City,37.7528,-100.0171,94.24,50,1,1.99,US,1627147902
362,Goulburn,-34.75,149.7167,40.15,96,94,23.26,AU,1627147803
363,Along,28.1667,94.7667,77.25,99,82,1.3,IN,1627147902
364,Lerwick,60.1545,-1.1494,55.4,79,96,8.05,GB,1627147902
365,Teófilo Otoni,-17.8575,-41.5053,74.73,50,35,8.08,BR,1627147672
366,Port Hedland,-20.3167,118.5667,62.65,63,7,6.91,AU,1627147888
367,Severomuysk,56.1481,113.4267,47.46,83,57,6.11,RU,1627147903
368,Araouane,18.9048,-3.5265,105.03,17,23,10.11,ML,1627147903
369,Shirokiy,49.758,129.523,69.08,97,100,8.72,RU,1627147903
370,Kavieng,-2.5744,150.7967,82.38,77,5,10.56,PG,1627147878
371,Tuy Hoa,13.0833,109.3,81.5,64,95,11.07,VN,1627147904
372,Menongue,-14.6585,17.691,60.49,23,0,4.85,AO,1627147904
373,Panguna,-6.3164,155.4848,67.96,95,91,1.23,PG,1627147904
374,Saint-François,46.4154,3.9054,74.64,65,0,3.44,FR,1627147905
375,Clyde River,70.4692,-68.5914,35.83,93,90,11.5,CA,1627147881
376,Karaton,-6.3424,106.1045,77.95,93,2,1.81,ID,1627147905
377,Vila,42.0304,-8.1588,66.74,67,34,6.24,PT,1627147905
378,Sinnamary,5.3833,-52.95,83.26,74,73,12.48,GF,1627147906
379,Kudat,6.8837,116.8477,78.73,94,20,3.44,MY,1627147906
380,Alyangula,-13.8483,136.4192,73.27,100,98,3.44,AU,1627147906
381,Pedersore,63.65,22.6833,64.53,71,45,10.22,FI,1627147907
382,Paamiut,61.994,-49.6678,42.6,96,100,5.93,GL,1627147907
383,Khorramshahr,30.4397,48.1664,103.96,18,0,6.91,IR,1627147907
384,Lincoln,40.8,-96.667,91.29,62,40,3.0,US,1627147713
385,Zilair,52.2332,57.4392,59.67,62,34,5.46,RU,1627147908
386,Hvide Sande,56.0045,8.1294,77.2,68,70,11.77,DK,1627147908
387,Ulaanbaatar,47.9077,106.8832,53.73,82,0,4.47,MN,1627147908
388,Denizli Province,37.8402,29.0698,74.25,30,52,7.92,TR,1627147908
389,Plácido de Castro,-10.3353,-67.1856,98.65,23,1,2.44,BR,1627147909
390,Ellisras,-23.6649,27.7443,49.08,35,0,7.38,ZA,1627147909
391,Bulanash,57.2783,61.9965,61.59,66,83,2.95,RU,1627147909
392,Cockburn Town,21.4612,-71.1419,87.76,62,40,17.27,TC,1627147910
393,Port Lincoln,-34.7333,135.8667,52.61,67,83,23.85,AU,1627147909
394,Dickinson,29.4608,-95.0513,95.13,64,20,1.01,US,1627147799
395,Karakol,42.4907,78.3936,66.33,27,0,5.5,KG,1627147910
396,Ambilobe,-13.2,49.05,67.37,74,74,3.51,MG,1627147910
397,Ihosy,-22.4,46.1167,57.13,83,71,9.6,MG,1627147911
398,Osa,57.2829,55.4567,53.49,86,57,3.74,RU,1627147911
399,Pompéia,-22.1086,-50.1717,84.07,17,0,9.84,BR,1627147911
400,Kintampo,8.0563,-1.7306,77.29,72,94,6.44,GH,1627147912
401,Norman,35.2226,-97.4395,93.72,62,1,11.5,US,1627147696
402,Marsh Harbour,26.5412,-77.0636,79.11,76,100,13.0,BS,1627147912
403,Nanyuki,0.0167,37.0728,62.55,59,100,4.5,KE,1627147912
404,Anadyr,64.75,177.4833,55.9,100,90,8.01,RU,1627147913
405,Tingi,-11.3,35.0333,55.38,81,62,3.38,TZ,1627147913
406,Natal,-5.795,-35.2094,88.45,51,20,21.85,BR,1627147629
407,Aksarka,66.5606,67.7975,58.68,64,78,11.18,RU,1627147913
408,Aksarayskiy,46.7924,48.0119,82.35,29,45,8.03,RU,1627147914
409,Henderson,36.0397,-114.9819,94.37,41,1,5.75,US,1627147914
410,Peruíbe,-24.32,-46.9983,71.2,61,0,4.52,BR,1627147809
411,Lipin Bor,60.2622,37.9763,58.35,51,97,3.18,RU,1627147914
412,Whitianga,-36.8333,175.7,53.02,83,72,14.74,NZ,1627147915
413,Ankazoabo,-22.2833,44.5167,61.45,48,7,16.58,MG,1627147915
414,Wukari,7.85,9.7833,74.88,86,97,5.55,NG,1627147915
415,Biak,-0.9131,122.8766,74.41,74,100,7.49,ID,1627147915
416,La Ronge,55.1001,-105.2842,70.02,60,75,9.22,CA,1627147916
417,Gorontalo,0.5412,123.0595,74.86,87,99,2.39,ID,1627147879
418,Severo-Kuril'sk,50.6789,156.125,53.91,96,76,2.44,RU,1627147784
419,Honningsvåg,70.9821,25.9704,45.34,82,100,27.42,NO,1627147916
420,Sisimiut,66.9395,-53.6735,39.06,92,97,6.24,GL,1627147917
421,Teknāf,20.8624,92.3058,80.44,89,96,10.45,BD,1627147917
422,Jishou,28.3167,109.7167,72.66,92,57,2.84,CN,1627147917
423,Caiapônia,-16.9567,-51.8103,87.06,21,0,7.11,BR,1627147918
424,Lake Charles,30.2131,-93.2044,94.98,59,1,4.61,US,1627147918
425,Fairlie,55.756,-4.8556,76.86,71,98,1.9,GB,1627147918
426,Sumenep,-7.0167,113.8667,76.3,81,2,7.38,ID,1627147919
427,Hirara,24.8,125.2833,83.16,85,100,24.58,JP,1627147884
428,Lorengau,-2.0226,147.2712,80.47,78,21,6.8,PG,1627147860
429,Emerald,-23.5333,148.1667,53.35,55,0,4.61,AU,1627147919
430,Londonderry,54.9981,-7.3093,73.42,60,39,7.78,GB,1627147919
431,Emba,48.8264,58.1442,77.88,40,42,9.66,KZ,1627147920
432,Balad,34.0164,44.1453,100.54,17,0,10.92,IQ,1627147920
433,Kananga,-5.8958,22.4178,80.17,28,7,3.65,CD,1627147920
434,Souillac,-20.5167,57.5167,70.18,83,40,8.05,MU,1627147921
435,Beroroha,-21.6667,45.1667,67.89,39,73,9.64,MG,1627147921
436,Gazli,40.1333,63.45,97.12,10,0,10.02,UZ,1627147921
437,Kot Diji,27.3427,68.7083,95.02,44,51,11.88,PK,1627147922
438,Inírida,3.8653,-67.9239,78.46,90,98,3.96,CO,1627147922
439,Christchurch,-43.5333,172.6333,42.91,88,4,1.01,NZ,1627147922
440,Yeniseysk,58.4497,92.1703,65.39,69,2,4.23,RU,1627147622
441,Johannesburg,-26.2023,28.0436,46.27,39,0,1.99,ZA,1627147761
442,Iporá,-16.4419,-51.1178,87.84,21,0,5.99,BR,1627147923
443,Dehlorān,32.6941,47.2679,103.26,11,0,8.59,IR,1627147923
444,Sucúa,-2.4667,-78.1667,83.14,44,40,5.75,EC,1627147923
445,Bereda,43.2686,-7.5406,70.41,61,55,6.15,ES,1627147924
446,Tiznit Province,29.5833,-9.5,88.81,29,88,5.26,MA,1627147924
447,Constantine,36.365,6.6147,103.41,10,40,4.61,DZ,1627147924
448,Ende,-8.8432,121.6623,71.94,73,6,1.48,ID,1627147925
449,Pucallpa,-8.3791,-74.5539,87.84,51,40,6.91,PE,1627147834
450,Bougouni,11.417,-7.479,82.24,67,97,6.35,ML,1627147925
451,Narón,43.5167,-8.1528,71.91,82,20,10.36,ES,1627147925
452,Lebanon,36.2081,-86.2911,92.44,54,1,6.91,US,1627147703
453,Reconquista,-29.15,-59.65,87.85,30,42,13.69,AR,1627147926
454,Tuatapere,-46.1333,167.6833,38.82,82,100,7.38,NZ,1627147847
455,Mayo,38.8876,-76.5119,88.23,56,75,15.99,US,1627147926
456,Victoria Point,-27.5833,153.3,58.98,72,6,1.01,AU,1627147926
457,Grand Baie,-20.0182,57.5802,70.27,75,53,12.15,MU,1627147927
458,Juneau,58.3019,-134.4197,56.84,95,90,9.22,US,1627147926
459,Tura,25.5198,90.2201,75.83,94,56,5.21,IN,1627147927
460,Brandon,27.9378,-82.2859,93.33,73,40,1.01,US,1627147922
461,Joensuu,62.6012,29.7632,67.1,46,0,6.91,FI,1627147928
462,Half Moon Bay,37.4636,-122.4286,80.92,72,20,3.44,US,1627147928
463,Vestmannaeyjar,63.4427,-20.2734,52.79,93,75,13.8,IS,1627147844
464,Pasinler,39.9803,41.6764,74.39,64,42,6.96,TR,1627147928
465,Morondava,-20.2833,44.2833,75.02,44,2,17.81,MG,1627147928
466,Tres Arroyos,-38.3739,-60.2798,56.77,35,91,13.87,AR,1627147929
467,Pelym,61.0108,61.9978,53.82,93,90,8.03,RU,1627147929
468,Jamame,0.0722,42.7506,75.56,75,25,15.43,SO,1627147929
469,Linhares,-19.3911,-40.0722,78.28,42,6,10.42,BR,1627147817
470,Bloemfontein,-29.1211,26.214,42.28,39,0,3.44,ZA,1627147930
471,Pervomayskiy,53.2485,40.2871,62.85,59,97,6.46,RU,1627147930
472,Portoferraio,42.8115,10.3146,83.08,83,20,5.75,IT,1627147930
473,Sabang,5.8933,95.3214,83.62,75,99,15.9,ID,1627147817
474,Sobolevo,54.4299,31.8996,60.91,71,57,3.85,RU,1627147921
475,Fort Nelson,58.8053,-122.7002,65.79,48,75,12.66,CA,1627147931
476,Buritis,-15.6178,-46.4233,82.76,21,3,7.31,BR,1627147931
477,Tilichiki,60.4667,166.1,50.59,94,99,2.64,RU,1627147931
478,Nālūt,30.3333,10.85,93.52,13,0,7.56,LY,1627147932
479,Santa Isabel Rio Negro,-0.4139,-65.0192,85.95,67,95,1.68,BR,1627147932
480,Kuytun,54.3419,101.5036,58.23,73,2,4.05,RU,1627147932
481,Roald,62.5833,6.1333,72.1,88,90,5.75,NO,1627147932
482,Conde,-7.2597,-34.9075,81.86,65,20,17.27,BR,1627147933
483,Talara,-4.5772,-81.2719,77.76,65,0,10.36,PE,1627147933
484,Amazar,53.858,120.875,56.64,98,97,3.49,RU,1627147933
485,Hrubieszów,50.805,23.8925,70.11,63,45,4.76,PL,1627147934
486,Russell,32.3502,-85.1999,90.37,55,1,3.44,US,1627147934
487,Poronaysk,49.2167,143.1167,64.26,98,87,4.21,RU,1627147934
488,Vila do Maio,15.1333,-23.2167,83.19,69,80,6.93,CV,1627147934
489,Coyhaique,-45.5752,-72.0662,38.01,87,75,4.61,CL,1627147935
490,Bariloche,-41.1456,-71.3082,46.15,46,75,8.05,AR,1627147658
491,Itoman,26.1247,127.6694,80.98,96,75,17.27,JP,1627147935
492,Padang,-0.9492,100.3543,77.74,85,76,3.6,ID,1627147877
493,Pacific Grove,36.6177,-121.9166,75.42,90,90,5.99,US,1627147936
494,Neunkirchen,49.35,7.1833,75.54,84,40,1.01,DE,1627147936
495,Oddur,4.1213,43.8894,75.0,51,98,24.11,SO,1627147900
496,Cuxhaven,53.8718,8.6909,78.3,75,82,12.03,DE,1627147936
497,Camabatela,-8.1881,15.375,69.93,23,0,5.12,AO,1627147937
498,St-Jean-Port-Joli,47.2171,-70.2658,82.0,58,24,11.99,CA,1627147937
499,Saurimo,-9.6608,20.3916,71.06,28,1,3.22,AO,1627147937
500,Songjianghe,42.1859,127.479,67.86,82,42,3.96,CN,1627147938
501,Salamiyah,35.0113,37.0532,79.45,60,23,14.81,SY,1627147938
502,Remanso,-9.6179,-42.0831,82.62,48,33,17.25,BR,1627147939
503,Ust-Nera,64.5667,143.2,59.05,99,100,7.25,RU,1627147939
504,Kitui,-1.367,38.0106,66.52,47,69,15.28,KE,1627147939
505,Maniitsoq,65.4167,-52.9,40.59,77,40,6.13,GL,1627147939
506,Sainte-Maxime,43.3,6.6333,87.98,73,65,8.52,FR,1627147940
507,Moerai,-22.4333,-151.3333,70.65,62,22,6.38,PF,1627147940
508,Amapá,1.0,-52.0,82.27,66,47,2.53,BR,1627147940
509,Ancud,-41.8697,-73.8203,46.22,69,100,3.8,CL,1627147941
510,Yasnyy,51.0333,59.8742,66.69,81,68,4.81,RU,1627147941
511,Qingdao,36.0986,120.3719,76.6,78,0,2.24,CN,1627147941
512,Teluk Nibung,3.001,99.8164,77.49,91,100,4.34,ID,1627147941
513,Mumford,5.2618,-0.759,76.57,76,44,14.23,GH,1627147942
514,Cilegon,-6.0174,106.0538,76.89,79,0,3.6,ID,1627147942
515,Jumla,29.2747,82.1838,65.16,94,100,2.35,NP,1627147942
516,Henties Bay,-22.116,14.2845,66.56,32,1,6.44,NA,1627147943
517,Itamaracá,-7.7478,-34.8256,83.08,73,13,13.29,BR,1627147943
518,Sambava,-14.2667,50.1667,68.72,77,19,12.84,MG,1627147940
519,Booué,-0.0921,11.9385,83.34,51,86,3.27,GA,1627147943
520,Mürzzuschlag,47.6,15.6833,77.68,79,84,4.03,AT,1627147944
521,Kharabali,47.4196,47.2568,77.85,34,9,5.44,RU,1627147944
522,Dudinka,69.4058,86.1778,50.97,72,90,3.83,RU,1627147944
523,Anyang,36.0994,114.3289,77.56,79,2,4.03,CN,1627147945
524,Taku,39.0211,117.6469,80.56,79,9,7.25,CN,1627147945
525,Rach Gia,10.0167,105.0833,80.64,79,100,20.36,VN,1627147945
526,Nampula,-15.1165,39.2666,66.15,63,75,13.8,MZ,1627147945
527,Vidisha,23.5333,77.8167,78.13,97,100,10.2,IN,1627147946
528,Lubao,14.9167,120.55,80.15,89,100,12.1,PH,1627147946
529,Arlit,18.7369,7.3853,102.0,21,26,7.23,NE,1627147947
530,Puerto Escondido,15.85,-97.0667,88.63,66,40,5.75,MX,1627147947
531,Aulnay-sous-Bois,48.9366,2.4938,78.08,57,75,10.36,FR,1627147947
532,Husavik,66.0449,-17.3389,62.51,69,96,13.65,IS,1627147947
533,Abu Kamal,34.4506,40.9171,97.81,24,0,8.66,SY,1627147948
534,Elliot Lake,46.3834,-82.6331,66.29,99,100,8.86,CA,1627147948
535,Snyder,32.7179,-100.9176,91.74,46,1,11.5,US,1627147948
536,Carballo,43.213,-8.691,72.59,77,41,7.85,ES,1627147949
537,Tambacounda,13.7539,-13.7586,96.85,44,75,6.91,SN,1627147949
538,Tshikapa,-6.4167,20.8,83.53,25,19,3.91,CD,1627147949
539,Tagāb,34.855,69.6492,91.31,26,30,4.09,AF,1627147949
540,Hualmay,-11.0964,-77.6139,68.43,69,28,9.75,PE,1627147853
541,Arbazh,57.6804,48.3065,50.61,58,49,5.55,RU,1627147950
542,Severnoye,56.3491,78.3619,67.53,84,69,2.51,RU,1627147950
543,Wajir,1.7471,40.0573,81.0,39,85,23.6,KE,1627147950
